# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:49:30 AEDT 2019 [seed=1575866967248]
# -overwrite ebola_liberia_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-66064.29377981067	-3290.5384935947723	-62773.7552862159	3.0609902869942425	2012.8452728487757	25.119376280169476	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.250731533511389	1.2995963535875399	-0.015299281272782425	-62773.7552862159	-3020.873918056336	-252.7030102855778
5000	-42442.48327207463	-3625.2728886565487	-38817.21038341808	3.2687393995661598	2012.6375237362038	55.466308414798235	3.6036981732022664	-0.19896770772427796	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05166485177980986	0.0068456394769730545	0.023456429517947887	0.0016089206825507147	2.8762001315820975	-0.019872393687408133	-38817.21038341808	-3020.873918056336	-597.1598469851215
10000	-41619.96132831776	-3660.2794322762084	-37959.681896041555	3.0819008041872467	2012.8243623315827	57.2352922141736	3.9345161667748982	-0.12744005091748023	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03437623832819059	0.005637660388760523	0.01739312052809661	0.001347530213926885	1.99936599515787	-0.013646873684164599	-37959.681896041555	-3020.873918056336	-632.4604801411297
15000	-41330.72799756391	-3653.031784900768	-37677.69621266314	2.9797877698150588	2012.926475365955	54.10119432490886	3.7096294957213587	-0.17336306287369707	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05520471015511609	0.004620641277618958	0.013450132151715226	0.0013335473302550553	1.8314224509235528	-0.05397700504780526	-37677.69621266314	-3020.873918056336	-625.2810855579637
20000	-41151.890081225465	-3653.7282204948187	-37498.161860730645	3.0736255001488546	2012.832637635621	51.755216016363796	5.790451073661253	0.05328456747083665	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.047101580379377825	0.003428969932871416	0.007366343808162609	0.0013521015616246284	1.4441544692874029	-0.0375569981666988	-37498.161860730645	-3020.873918056336	-626.3315228723503
25000	-40924.6117867491	-3655.0730672407985	-37269.5387195083	3.297016954357214	2012.6092461814128	51.652702744761	5.49227656294832	0.03154934011621213	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03265135001781295	0.003622951133805323	0.008482636858556597	0.0013554669435701992	1.5629217682207277	-0.05790260378197838	-37269.5387195083	-3020.873918056336	-627.6854854123784
30000	-40671.79530712117	-3654.9882491011854	-37016.80705801998	2.955847927429423	2012.9504152083405	49.672597655275396	4.475453466452637	-0.02311196158213158	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03259965699491194	0.0033058853960261847	0.007046233765301105	0.001392693961943402	1.420623350424931	-0.008418338878339444	-37016.80705801998	-3020.873918056336	-627.6626984648888
35000	-40544.198161775406	-3663.536584401667	-36880.66157737374	3.1184993607793143	2012.7877637749905	49.309998398620976	5.122218145169797	0.024228474831747837	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04775813310088333	0.0026139442162693904	0.0047501396454479265	0.0012985843546970998	1.212046752110467	0.03349568083776726	-36880.66157737374	-3020.873918056336	-636.3355591949149
40000	-40344.72369501257	-3669.1025893533283	-36675.621105659244	3.0561231762419263	2012.850139959528	49.85792039744044	6.477598807924975	0.13771192233699336	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03382205494786158	0.002425780159179704	0.0042276136061637735	0.0011927839595889378	1.1719216113192112	0.024168590054318026	-36675.621105659244	-3020.873918056336	-641.8683349044568
45000	-40285.977626634805	-3682.788910028548	-36603.18871660626	3.093733260856326	2012.8125298749135	50.41675898558383	9.863704128022619	0.44204778608170314	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.026506749606961325	0.0023169193417629267	0.003650931190751951	0.001292058494251651	1.1113316302276883	-0.03170220447751764	-36603.18871660626	-3020.873918056336	-655.2993098155412
