PathParameter	MaxPathLikelihood	MLContribution
0.0000	-40323	-0.0088254
2.1544e-07	-40172	-0.080068
2.1715e-06	-40302	-0.25499
8.3895e-06	-40360	-0.55289
2.1888e-05	-40354	-0.98933
4.6050e-05	-40268	-1.5767
8.4561e-05	-40402	-2.3259
0.00014136	-40412	-3.2473
0.00022061	-40301	-4.3430
0.00032669	-40326	-5.6206
0.00046416	-40167	-7.0952
0.00063774	-40233	-8.7688
0.00085232	-40194	-10.665
0.0011130	-40312	-12.746
0.0014248	-40169	-15.046
0.0017932	-40177	-17.559
0.0022237	-40179	-20.337
0.0027216	-40256	-23.318
0.0032929	-40050	-26.441
0.0039432	-40269	-29.978
0.0046784	-40102	-33.614
0.0055047	-40085	-37.569
0.0064280	-40090	-41.686
0.0074546	-39922	-46.143
0.0085909	-39989	-50.765
0.0098431	-39924	-55.603
0.011218	-39811	-60.868
0.012722	-39916	-66.205
0.014361	-39888	-71.989
0.016143	-39747	-77.677
0.018075	-39709	-83.946
0.020162	-39520	-90.301
0.022413	-39476	-97.013
0.024834	-39155	-103.52
0.027432	-38904	-110.47
0.030215	-39134	-117.79
0.033190	-38743	-124.85
0.036364	-38850	-132.77
0.039745	-38534	-140.27
0.043339	-38291	-148.39
0.047156	-38214	-156.71
0.051201	-37961	-164.44
0.055484	-37730	-172.84
0.060011	-37714	-182.28
0.064790	-37535	-191.27
0.069830	-37324	-200.54
0.075138	-36811	-208.95
0.080722	-37012	-219.16
0.086591	-36520	-226.85
0.092751	-36053	-235.26
0.099213	-36014	-245.93
0.10598	-35585	-254.63
0.11307	-35249	-264.10
0.12048	-35264	-276.19
0.12823	-35058	-285.82
0.13631	-34850	-297.07
0.14475	-34810	-308.60
0.15355	-34772	-320.67
0.16271	-34601	-332.43
0.17226	-34391	-343.80
0.18218	-34293	-356.21
0.19250	-34203	-368.65
0.20322	-34123	-381.41
0.21436	-34128	-396.31
0.22591	-33943	-408.83
0.23789	-33837	-421.80
0.25031	-33708	-435.74
0.26318	-33792	-451.51
0.27650	-33688	-466.29
0.29029	-33597	-481.02
0.30455	-33585	-496.78
0.31930	-33555	-513.34
0.33454	-33534	-530.10
0.35028	-33500	-546.24
0.36653	-33477	-562.86
0.38330	-33450	-580.47
0.40060	-33459	-598.40
0.41844	-33422	-616.15
0.43683	-33414	-634.64
0.45578	-33375	-652.75
0.47530	-33365	-672.07
0.49539	-33346	-691.15
0.51608	-33345	-710.90
0.53735	-33336	-730.97
0.55924	-33323	-751.30
0.58174	-33293	-771.49
0.60487	-33287	-792.32
0.62863	-33295	-814.11
0.65304	-33277	-835.33
0.67811	-33265	-857.19
0.70384	-33237	-878.91
0.73025	-33241	-901.70
0.75734	-33237	-924.68
0.78513	-33212	-947.81
0.81363	-33221	-971.67
0.84284	-33209	-995.36
0.87278	-33201	-1019.5
0.90345	-33197	-1044.2
0.93488	-33196	-1069.2
0.96705	-33183	-1094.3
1.0000	-33181	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -34143.59432928106
